kd_tree,dimension,n,k,time
kd_tree,6,20000,300,181
kd_tree,6,20000,400,217
kd_tree,6,20000,500,239
kd_tree,6,20000,600,262
kd_tree,6,20000,700,283
kd_tree,6,20000,800,305
kd_tree,6,20000,900,329
kd_tree,6,20000,1000,340
kd_tree,6,30000,100,119
kd_tree,6,30000,200,172
kd_tree,6,30000,300,215
kd_tree,6,30000,400,282
kd_tree,6,30000,500,311
kd_tree,6,30000,600,337
kd_tree,6,30000,700,358
kd_tree,6,30000,800,383
kd_tree,6,30000,900,407
kd_tree,6,30000,1000,422
kd_tree,6,40000,100,134
kd_tree,6,40000,200,195
kd_tree,6,40000,300,247
kd_tree,6,40000,400,292
kd_tree,6,40000,500,332
kd_tree,6,40000,600,385
kd_tree,6,40000,700,431
kd_tree,6,40000,800,468
kd_tree,6,40000,900,477
kd_tree,6,40000,1000,493
kd_tree,6,50000,100,140
kd_tree,6,50000,200,208
kd_tree,6,50000,300,263
kd_tree,6,50000,400,311
kd_tree,6,50000,500,352
kd_tree,6,50000,600,395
kd_tree,6,50000,700,434
kd_tree,6,50000,800,471
kd_tree,6,50000,900,514
kd_tree,6,50000,1000,540
kd_tree,6,60000,100,160
kd_tree,6,60000,200,234
kd_tree,6,60000,300,297
kd_tree,6,60000,400,341
kd_tree,6,60000,500,384
kd_tree,6,60000,600,428
kd_tree,6,60000,700,469
kd_tree,6,60000,800,541
kd_tree,6,60000,900,572
kd_tree,6,60000,1000,589
kd_tree,6,70000,100,149
kd_tree,6,70000,200,226
kd_tree,6,70000,300,287
kd_tree,6,70000,400,337
kd_tree,6,70000,500,383
kd_tree,6,70000,600,431
kd_tree,6,70000,700,472
kd_tree,6,70000,800,512
kd_tree,6,70000,900,549
kd_tree,6,70000,1000,581
kd_tree,7,10000,100,86
kd_tree,7,10000,200,115
kd_tree,7,10000,300,138
kd_tree,7,10000,400,157
kd_tree,7,10000,500,173
kd_tree,7,10000,600,190
kd_tree,7,10000,700,203
kd_tree,7,10000,800,216
kd_tree,7,10000,900,226
kd_tree,7,10000,1000,236
kd_tree,7,20000,100,125
kd_tree,7,20000,200,170
kd_tree,7,20000,300,218
kd_tree,7,20000,400,235
kd_tree,7,20000,500,259
kd_tree,7,20000,600,284
kd_tree,7,20000,700,306
kd_tree,7,20000,800,327
kd_tree,7,20000,900,346
kd_tree,7,20000,1000,360
kd_tree,7,30000,100,143
kd_tree,7,30000,200,199
kd_tree,7,30000,300,241
kd_tree,7,30000,400,281
kd_tree,7,30000,500,315
kd_tree,7,30000,600,341
kd_tree,7,30000,700,368
kd_tree,7,30000,800,395
kd_tree,7,30000,900,418
kd_tree,7,30000,1000,440
kd_tree,7,40000,100,168
kd_tree,7,40000,200,230
kd_tree,7,40000,300,283
kd_tree,7,40000,400,325
kd_tree,7,40000,500,361
kd_tree,7,40000,600,398
kd_tree,7,40000,700,432
kd_tree,7,40000,800,478
kd_tree,7,40000,900,489
kd_tree,7,40000,1000,516
kd_tree,7,50000,100,172
kd_tree,7,50000,200,243
kd_tree,7,50000,300,301
kd_tree,7,50000,400,344
kd_tree,7,50000,500,384
kd_tree,7,50000,600,422
kd_tree,7,50000,700,464
kd_tree,7,50000,800,494
kd_tree,7,50000,900,522
kd_tree,7,50000,1000,548
kd_tree,7,60000,100,204
kd_tree,7,60000,200,282
kd_tree,7,60000,300,343
kd_tree,7,60000,400,398
kd_tree,7,60000,500,445
kd_tree,7,60000,600,490
kd_tree,7,60000,700,532
kd_tree,7,60000,800,570
kd_tree,7,60000,900,623
kd_tree,7,60000,1000,640
kd_tree,7,70000,100,198
kd_tree,7,70000,200,281
kd_tree,7,70000,300,347
kd_tree,7,70000,400,404
kd_tree,7,70000,500,453
kd_tree,7,70000,600,500
kd_tree,7,70000,700,544
kd_tree,7,70000,800,585
kd_tree,7,70000,900,621
kd_tree,7,70000,1000,656
