dumb_knn,dimension,n,k,time
dumb_knn,4,7000,300,312
dumb_knn,4,7000,400,321
dumb_knn,4,7000,500,331
dumb_knn,4,7000,600,333
dumb_knn,4,7000,700,337
dumb_knn,4,7000,800,347
dumb_knn,4,7000,900,366
dumb_knn,4,7000,1000,387
dumb_knn,5,1000,100,58
dumb_knn,5,1000,200,66
dumb_knn,5,1000,300,64
dumb_knn,5,1000,400,79
dumb_knn,5,1000,500,68
dumb_knn,5,1000,600,79
dumb_knn,5,1000,700,61
dumb_knn,5,1000,800,66
dumb_knn,5,1000,900,57
dumb_knn,5,1000,1000,0
dumb_knn,5,2000,100,107
dumb_knn,5,2000,200,114
dumb_knn,5,2000,300,127
dumb_knn,5,2000,400,134
dumb_knn,5,2000,500,130
dumb_knn,5,2000,600,124
dumb_knn,5,2000,700,134
dumb_knn,5,2000,800,154
dumb_knn,5,2000,900,146
dumb_knn,5,2000,1000,136
dumb_knn,5,3000,100,152
dumb_knn,5,3000,200,162
dumb_knn,5,3000,300,174
dumb_knn,5,3000,400,183
dumb_knn,5,3000,500,187
dumb_knn,5,3000,600,193
dumb_knn,5,3000,700,187
dumb_knn,5,3000,800,185
dumb_knn,5,3000,900,185
dumb_knn,5,3000,1000,181
dumb_knn,5,4000,100,195
dumb_knn,5,4000,200,211
dumb_knn,5,4000,300,220
dumb_knn,5,4000,400,228
dumb_knn,5,4000,500,236
dumb_knn,5,4000,600,251
dumb_knn,5,4000,700,250
dumb_knn,5,4000,800,257
dumb_knn,5,4000,900,253
dumb_knn,5,4000,1000,240
dumb_knn,5,5000,100,236
dumb_knn,5,5000,200,271
dumb_knn,5,5000,300,266
dumb_knn,5,5000,400,272
dumb_knn,5,5000,500,280
dumb_knn,5,5000,600,287
dumb_knn,5,5000,700,306
dumb_knn,5,5000,800,306
dumb_knn,5,5000,900,307
dumb_knn,5,5000,1000,318
dumb_knn,5,6000,100,278
dumb_knn,5,6000,200,300
dumb_knn,5,6000,300,313
dumb_knn,5,6000,400,322
dumb_knn,5,6000,500,325
dumb_knn,5,6000,600,332
dumb_knn,5,6000,700,339
dumb_knn,5,6000,800,357
dumb_knn,5,6000,900,361
dumb_knn,5,6000,1000,360
dumb_knn,5,7000,100,320
dumb_knn,5,7000,200,340
dumb_knn,5,7000,300,359
dumb_knn,5,7000,400,371
dumb_knn,5,7000,500,376
dumb_knn,5,7000,600,391
dumb_knn,5,7000,700,385
dumb_knn,5,7000,800,398
dumb_knn,5,7000,900,409
dumb_knn,5,7000,1000,416
dumb_knn,6,1000,100,62
dumb_knn,6,1000,200,74
dumb_knn,6,1000,300,66
dumb_knn,6,1000,400,82
dumb_knn,6,1000,500,72
dumb_knn,6,1000,600,85
dumb_knn,6,1000,700,63
dumb_knn,6,1000,800,71
dumb_knn,6,1000,900,60
dumb_knn,6,1000,1000,0
dumb_knn,6,2000,100,115
dumb_knn,6,2000,200,123
dumb_knn,6,2000,300,134
dumb_knn,6,2000,400,139
dumb_knn,6,2000,500,136
dumb_knn,6,2000,600,135
dumb_knn,6,2000,700,145
dumb_knn,6,2000,800,162
dumb_knn,6,2000,900,156
dumb_knn,6,2000,1000,143
dumb_knn,6,3000,100,163
dumb_knn,6,3000,200,176
dumb_knn,6,3000,300,182
dumb_knn,6,3000,400,199
dumb_knn,6,3000,500,199
dumb_knn,6,3000,600,207
dumb_knn,6,3000,700,204
dumb_knn,6,3000,800,196
dumb_knn,6,3000,900,199
dumb_knn,6,3000,1000,194
dumb_knn,6,4000,100,215
dumb_knn,6,4000,200,227
dumb_knn,6,4000,300,237
dumb_knn,6,4000,400,251
dumb_knn,6,4000,500,256
dumb_knn,6,4000,600,268
dumb_knn,6,4000,700,267
dumb_knn,6,4000,800,273
dumb_knn,6,4000,900,274
dumb_knn,6,4000,1000,259
dumb_knn,6,5000,100,261
dumb_knn,6,5000,200,283
dumb_knn,6,5000,300,287
dumb_knn,6,5000,400,294
dumb_knn,6,5000,500,304
dumb_knn,6,5000,600,309
dumb_knn,6,5000,700,322
dumb_knn,6,5000,800,326
dumb_knn,6,5000,900,327
dumb_knn,6,5000,1000,335
dumb_knn,6,6000,100,306
dumb_knn,6,6000,200,329
dumb_knn,6,6000,300,339
dumb_knn,6,6000,400,347
dumb_knn,6,6000,500,353
dumb_knn,6,6000,600,353
dumb_knn,6,6000,700,371
dumb_knn,6,6000,800,381
dumb_knn,6,6000,900,390
dumb_knn,6,6000,1000,389
dumb_knn,6,7000,100,346
dumb_knn,6,7000,200,370
dumb_knn,6,7000,300,392
dumb_knn,6,7000,400,398
dumb_knn,6,7000,500,406
dumb_knn,6,7000,600,415
dumb_knn,6,7000,700,412
dumb_knn,6,7000,800,418
dumb_knn,6,7000,900,440
dumb_knn,6,7000,1000,450
dumb_knn,7,1000,100,63
dumb_knn,7,1000,200,83
dumb_knn,7,1000,300,73
dumb_knn,7,1000,400,88
dumb_knn,7,1000,500,77
dumb_knn,7,1000,600,89
dumb_knn,7,1000,700,68
dumb_knn,7,1000,800,74
dumb_knn,7,1000,900,63
dumb_knn,7,1000,1000,0
dumb_knn,7,2000,100,122
dumb_knn,7,2000,200,129
dumb_knn,7,2000,300,143
dumb_knn,7,2000,400,149
dumb_knn,7,2000,500,145
dumb_knn,7,2000,600,144
dumb_knn,7,2000,700,147
dumb_knn,7,2000,800,170
dumb_knn,7,2000,900,163
dumb_knn,7,2000,1000,158
dumb_knn,7,3000,100,174
dumb_knn,7,3000,200,184
dumb_knn,7,3000,300,189
dumb_knn,7,3000,400,213
dumb_knn,7,3000,500,213
dumb_knn,7,3000,600,219
dumb_knn,7,3000,700,212
dumb_knn,7,3000,800,204
dumb_knn,7,3000,900,207
dumb_knn,7,3000,1000,203
dumb_knn,7,4000,100,220
dumb_knn,7,4000,200,238
dumb_knn,7,4000,300,246
dumb_knn,7,4000,400,253
dumb_knn,7,4000,500,266
dumb_knn,7,4000,600,275
dumb_knn,7,4000,700,276
dumb_knn,7,4000,800,289
dumb_knn,7,4000,900,286
dumb_knn,7,4000,1000,271
dumb_knn,7,5000,100,270
dumb_knn,7,5000,200,289
dumb_knn,7,5000,300,304
dumb_knn,7,5000,400,305
dumb_knn,7,5000,500,312
dumb_knn,7,5000,600,332
dumb_knn,7,5000,700,341
dumb_knn,7,5000,800,345
dumb_knn,7,5000,900,344
dumb_knn,7,5000,1000,350
dumb_knn,7,6000,100,319
dumb_knn,7,6000,200,341
dumb_knn,7,6000,300,356
dumb_knn,7,6000,400,361
dumb_knn,7,6000,500,370
dumb_knn,7,6000,600,371
dumb_knn,7,6000,700,378
dumb_knn,7,6000,800,409
dumb_knn,7,6000,900,415
dumb_knn,7,6000,1000,409
dumb_knn,7,7000,100,367
dumb_knn,7,7000,200,390
dumb_knn,7,7000,300,407
dumb_knn,7,7000,400,416
dumb_knn,7,7000,500,424
dumb_knn,7,7000,600,425
dumb_knn,7,7000,700,424
dumb_knn,7,7000,800,441
dumb_knn,7,7000,900,457
dumb_knn,7,7000,1000,477
